asset_a,asset_b,n_obs,pearson_r,pearson_p,pearson_q,significant_after_fdr,direction,hedge_ratio,adf_p,adf_q,is_mean_reverting,half_life_hours,half_life_hours_ci_low,half_life_hours_ci_high,current_rolling_zscore,current_ou_zscore
ETH,LDO,4620,0.8586450780757832,0.0,0.0,True,positive,0.9793047679091917,0.6117403378308615,0.687575916900803,True,5.908312680713016,,,-2.4336073973701957,-2.406460423928625
ETH,OP,4620,0.6345195335790458,0.0,0.0,True,positive,0.05810409290506214,0.6367223896314386,0.7097888933596365,True,24.11590329662752,,,3.4566760653078306,1.4163546475330255
AAVE,ETH,4620,0.5222050242306991,1.126e-321,1.823e-321,True,positive,0.058472141931349815,0.6520461081824002,0.719231058705285,True,58.30721350832465,,,3.4364469956250834,0.1403193325893131
DOGE,ETH,4620,0.8576576273370818,0.0,0.0,True,positive,0.11532989201223319,0.6612946872874148,0.7194886197687074,True,48.26584317783274,,,3.4913294127695416,0.4038102408622572
AAVE,SUI,4620,0.44703299412763375,7.180820733345233e-226,8.878105633954105e-226,True,positive,0.1936898117759237,0.7363349783612256,0.7947742623581483,True,112.65019045209569,,,2.614512477747842,-0.7820740377730158
ENA,SUI,4620,0.5595151774008009,0.0,0.0,True,positive,0.18997568594135655,0.781391577614466,0.8367657839021053,True,21.742122237837222,,,2.522356594515175,1.5030880995247098
ENA,ETH,4620,0.3355716287858191,5.514649806320173e-122,5.859315419215184e-122,True,positive,0.09012532825557192,0.8155123220333944,0.8631663380974138,True,17.329304467572864,,,3.4225913591688135,1.9202774058913412
DOGE,SUI,4620,0.7853365491833103,0.0,0.0,True,positive,0.37500135217572583,0.8187386589306351,0.8631663380974138,True,64.92438711551564,,,2.6724705829250825,-0.00779258442004102
ADA,UNI,4620,0.6021869972423242,0.0,0.0,True,positive,0.8331375502802529,0.9408911216303298,0.9694029738009459,True,1.8381400660775649,,,2.395143528648642,0.40728116806315395
AAVE,CRV,4620,0.3767444543904036,9.762754072926702e-156,1.0621876431344252e-155,True,positive,0.23998596830520397,0.2534443434970991,0.3628255864800577,False,,,,2.830878003334519,
CRV,OP,4620,0.6508332727233909,0.0,0.0,True,positive,0.298509516314901,0.36812489217326294,0.4682009806008445,False,,,,2.9200183644510638,
ADA,SOL,4620,0.8214002414777009,0.0,0.0,True,positive,0.20838819630671362,0.6557694947018775,0.719231058705285,False,,,,3.0107120760660733,
OP,SUI,4620,0.6773430228820474,0.0,0.0,True,positive,0.24575567175645308,0.8456826938434993,0.8847142027901223,False,,,,2.642500148063811,
ADA,WLD,4620,0.39858428733054685,9.512586793977858e-176,1.0691833090751972e-175,True,positive,0.13634041629324667,0.9364031487260187,0.9694029738009459,False,,,,2.7747109756943718,
AAVE,ADA,4620,0.45265723482070785,3.0845054800111977e-232,3.920492946556289e-232,True,positive,0.2353992661418733,0.9869568859969502,0.997088607486813,False,,,,2.9492266803443545,
ADA,ENA,4620,0.4337088980910994,2.9460828014611253e-211,3.4840631391192437e-211,True,positive,0.19972984366579635,0.9890886059404596,0.997088607486813,False,,,,2.9195147204520655,
ADA,OP,4620,0.5171268944997758,2.0223487146e-314,3.198132851e-314,True,positive,0.2934266981481268,0.994497830234098,0.997088607486813,False,,,,2.9544754372370283,
ADA,DOGE,4620,0.7665836667760737,0.0,0.0,True,positive,0.4665525598153639,0.997088607486813,0.997088607486813,False,,,,3.058158576340963,
